_id;gml_id;aasqa;date_maj;partition_field;lib_pol;lib_zone;etat;date_ech;date_dif;code_zone;code_pol
65dff4b8a44b3486ecfbe084;3471472;84;2024/02/28 14:37:05.299+01;842023w6;PM10;Bassin Lémanique;ALERTE SUR PERSISTANCE;09/02/2023;08/02/2023;2001;5
65dff4b8a44b3486ecfbe085;3471476;84;2024/02/28 14:37:05.299+01;842023w6;PM10;Bassin Lémanique;ALERTE SUR PERSISTANCE;10/02/2023;09/02/2023;2001;5
65dff4b8a44b3486ecfbe086;3471480;84;2024/02/28 14:37:05.299+01;842023w6;PM10;Bassin Lémanique;ALERTE SUR PERSISTANCE;10/02/2023;08/02/2023;2001;5
65dff4b8a44b3486ecfbe087;3471490;84;2024/02/28 14:37:05.299+01;842023w6;PM10;Bassin Lémanique;ALERTE SUR PERSISTANCE;11/02/2023;09/02/2023;2001;5
65dff4b8a44b3486ecfbe088;3471516;84;2024/02/28 14:37:05.299+01;842023w6;PM10;Bassin Lémanique;INFORMATION ET RECOMMANDATION;13/02/2023;12/02/2023;2001;5
65dff4b8a44b3486ecfbe089;3471520;84;2024/02/28 14:37:05.299+01;842023w7;PM10;Bassin Lémanique;INFORMATION ET RECOMMANDATION;14/02/2023;12/02/2023;2001;5
65dff4b8a44b3486ecfbe08a;3471524;84;2024/02/28 14:37:05.299+01;842023w7;PM10;Bassin Lémanique;INFORMATION ET RECOMMANDATION;14/02/2023;13/02/2023;2001;5
65dff4b8a44b3486ecfbe08b;3471531;84;2024/02/28 14:37:05.299+01;842023w7;PM10;Bassin Lémanique;INFORMATION ET RECOMMANDATION;15/02/2023;13/02/2023;2001;5
65dff4b8a44b3486ecfbe08c;3471535;84;2024/02/28 14:37:05.299+01;842023w7;PM10;Bassin Lémanique;INFORMATION ET RECOMMANDATION;15/02/2023;14/02/2023;2001;5
65dff4b8a44b3486ecfbe08d;3471538;84;2024/02/28 14:37:05.299+01;842023w7;PM10;Bassin Lémanique;INFORMATION ET RECOMMANDATION;16/02/2023;14/02/2023;2001;5
65dff4b8a44b3486ecfbe08e;3471546;84;2024/02/28 14:37:05.299+01;842023w9;PM10;Bassin Lémanique;INFORMATION ET RECOMMANDATION;03/03/2023;02/03/2023;2001;5
65dff4b8a44b3486ecfbe08f;3471556;84;2024/02/28 14:37:05.299+01;842023w9;PM10;Bassin Lémanique;INFORMATION ET RECOMMANDATION;04/03/2023;02/03/2023;2001;5
65dff4b8a44b3486ecfbe090;3471561;84;2024/02/28 14:37:05.299+01;842023w9;PM10;Bassin Lémanique;INFORMATION ET RECOMMANDATION;04/03/2023;03/03/2023;2001;5
65dff4b8a44b3486ecfbe091;3471566;84;2024/02/28 14:37:05.299+01;842023w9;PM10;Bassin Lémanique;INFORMATION ET RECOMMANDATION;05/03/2023;03/03/2023;2001;5
65dff4d1a44b3486ecfbe092;3471484;84;2024/02/28 14:37:05.299+01;842023w6;PM10;Bassin Stéphanois;INFORMATION ET RECOMMANDATION;11/02/2023;10/02/2023;2002;5
65dff4d1a44b3486ecfbe093;3471494;84;2024/02/28 14:37:05.299+01;842023w6;PM10;Bassin Stéphanois;ALERTE SUR PERSISTANCE;12/02/2023;11/02/2023;2002;5
65dff4d1a44b3486ecfbe094;3471500;84;2024/02/28 14:37:05.299+01;842023w6;PM10;Bassin Stéphanois;INFORMATION ET RECOMMANDATION;12/02/2023;10/02/2023;2002;5
65dff4d1a44b3486ecfbe095;3471510;84;2024/02/28 14:37:05.299+01;842023w6;PM10;Bassin Stéphanois;ALERTE SUR PERSISTANCE;13/02/2023;12/02/2023;2002;5
65dff4d1a44b3486ecfbe096;3471511;84;2024/02/28 14:37:05.299+01;842023w6;PM10;Bassin Stéphanois;ALERTE SUR PERSISTANCE;13/02/2023;11/02/2023;2002;5
65dff4d1a44b3486ecfbe097;3471518;84;2024/02/28 14:37:05.299+01;842023w7;PM10;Bassin Stéphanois;ALERTE SUR PERSISTANCE;14/02/2023;12/02/2023;2002;5
65dff4d1a44b3486ecfbe098;3471557;84;2024/02/28 14:37:05.299+01;842023w9;PM10;Bassin Stéphanois;INFORMATION ET RECOMMANDATION;04/03/2023;03/03/2023;2002;5
65dff4d1a44b3486ecfbe099;3471571;84;2024/02/28 14:37:05.299+01;842023w9;PM10;Bassin Stéphanois;INFORMATION ET RECOMMANDATION;05/03/2023;03/03/2023;2002;5
65dff4d1a44b3486ecfbe09a;3471665;84;2024/02/28 14:37:05.299+01;842024w2;PM10;Bassin Stéphanois;INFORMATION ET RECOMMANDATION;13/01/2024;11/01/2024;2002;5
65dff4d1a44b3486ecfbe09b;3471666;84;2024/02/28 14:37:05.299+01;842024w2;PM10;Bassin Stéphanois;INFORMATION ET RECOMMANDATION;13/01/2024;11/01/2024;2002;5
65dff4d1a44b3486ecfbe09c;3471670;84;2024/02/28 14:37:05.299+01;842024w2;PM10;Bassin Stéphanois;ALERTE SUR PERSISTANCE;13/01/2024;12/01/2024;2002;5
65dff4d1a44b3486ecfbe09d;3471671;84;2024/02/28 14:37:05.299+01;842024w2;PM10;Bassin Stéphanois;ALERTE SUR PERSISTANCE;13/01/2024;12/01/2024;2002;5
65dff4d1a44b3486ecfbe09e;3471688;84;2024/02/28 14:37:05.299+01;842024w2;PM10;Bassin Stéphanois;ALERTE SUR PERSISTANCE;14/01/2024;12/01/2024;2002;5
65dff4d1a44b3486ecfbe09f;3471697;84;2024/02/28 14:37:05.299+01;842024w2;PM10;Bassin Stéphanois;ALERTE SUR PERSISTANCE;14/01/2024;12/01/2024;2002;5
65dff4e9a44b3486ecfbe0a0;3471623;84;2024/02/28 14:37:05.299+01;842023w34;O3;Bassin Lyon Nord-Isère;INFORMATION ET RECOMMANDATION;23/08/2023;22/08/2023;2003;7
65dff4e9a44b3486ecfbe0a1;3471626;84;2024/02/28 14:37:05.299+01;842023w34;O3;Bassin Lyon Nord-Isère;INFORMATION ET RECOMMANDATION;24/08/2023;22/08/2023;2003;7
65dff4e9a44b3486ecfbe0a2;3471627;84;2024/02/28 14:37:05.299+01;842023w34;O3;Bassin Lyon Nord-Isère;INFORMATION ET RECOMMANDATION;24/08/2023;23/08/2023;2003;7
65dff4e9a44b3486ecfbe0a3;3471629;84;2024/02/28 14:37:05.299+01;842023w34;O3;Bassin Lyon Nord-Isère;INFORMATION ET RECOMMANDATION;25/08/2023;23/08/2023;2003;7
65dff4e9a44b3486ecfbe0a4;3471630;84;2024/02/28 14:37:05.299+01;842023w50;PM10;Bassin Lyon Nord-Isère;ALERTE SUR PERSISTANCE;18/12/2023;17/12/2023;2003;5
65dff4e9a44b3486ecfbe0a5;3471631;84;2024/02/28 14:37:05.299+01;842023w50;PM10;Bassin Lyon Nord-Isère;ALERTE SUR PERSISTANCE;18/12/2023;17/12/2023;2003;5
65dff4e9a44b3486ecfbe0a6;3471633;84;2024/02/28 14:37:05.299+01;842023w51;PM10;Bassin Lyon Nord-Isère;ALERTE SUR PERSISTANCE;19/12/2023;17/12/2023;2003;5
65dff4e9a44b3486ecfbe0a7;3471635;84;2024/02/28 14:37:05.299+01;842023w51;PM10;Bassin Lyon Nord-Isère;ALERTE SUR PERSISTANCE;19/12/2023;18/12/2023;2003;5
65dff4e9a44b3486ecfbe0a8;3471637;84;2024/02/28 14:37:05.299+01;842023w51;PM10;Bassin Lyon Nord-Isère;ALERTE SUR PERSISTANCE;19/12/2023;18/12/2023;2003;5
65dff4e9a44b3486ecfbe0a9;3471641;84;2024/02/28 14:37:05.299+01;842023w51;PM10;Bassin Lyon Nord-Isère;ALERTE SUR PERSISTANCE;19/12/2023;17/12/2023;2003;5
65dff4e9a44b3486ecfbe0aa;3471642;84;2024/02/28 14:37:05.299+01;842023w51;PM10;Bassin Lyon Nord-Isère;ALERTE SUR PERSISTANCE;20/12/2023;18/12/2023;2003;5
65dff4e9a44b3486ecfbe0ab;3471644;84;2024/02/28 14:37:05.299+01;842023w51;PM10;Bassin Lyon Nord-Isère;ALERTE SUR PERSISTANCE;20/12/2023;18/12/2023;2003;5
65dff4e9a44b3486ecfbe0ac;3471466;84;2024/02/28 14:37:05.299+01;842023w6;PM10;Bassin Lyon Nord-Isère;INFORMATION ET RECOMMANDATION;08/02/2023;07/02/2023;2003;5
65dff4e9a44b3486ecfbe0ad;3471471;84;2024/02/28 14:37:05.299+01;842023w6;PM10;Bassin Lyon Nord-Isère;ALERTE SUR PERSISTANCE;09/02/2023;08/02/2023;2003;5
65dff4e9a44b3486ecfbe0ae;3471474;84;2024/02/28 14:37:05.299+01;842023w6;PM10;Bassin Lyon Nord-Isère;INFORMATION ET RECOMMANDATION;09/02/2023;07/02/2023;2003;5
